Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
40rtu0e1mHJDX3gIEXP0SFyiMwJiqd;[0.70710678 0.         0.         0.70710678];2;1;0;0.5;11015.0;2;1;2;2;SVD
5cyQU9FIWvx5tIWQWMMzEVfPiLmzpS;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;12848.0;2;0;2;2;Low Rank
9VepGQoxJoHfeClwcc801JBA3FK7cm;[0.70710678 0.         0.         0.70710678];2;1;0;0.5;18354.0;2;1;2;2;Low Rank
BIPsgBivSPtu4RYuFOnShKOxRlUymg;[0.70710678 0.         0.         0.70710678];2;1;0;0.5;12436.0;2;1;2;2;SVD
ChoxLFKwEDqsN5rp0oiHYHpkQtwvdQ;[0.70710678 0.         0.         0.70710678];2;1;0;0.5;12576.0;2;1;2;2;Low Rank
K10fyzMVSrGbCNQMdldrfi1eWePdtf;[0.70710678 0.         0.         0.70710678];2;1;0;0.5;10245.0;2;1;2;2;SVD
MDH4aKeM1YChSOgteIPf33Qzq8PvDP;[0.70710678 0.         0.         0.70710678];2;1;0;0.5;10760.0;2;1;2;2;SVD
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;94786.0;2;0;2;2;Low Rank
qdyQAwuYvI3UfXNJfgowtCZrPZVtRK;[0.         0.         0.70710678 0.70710678];2;1;0;0.5;8168.999999999999;2;0;2;1;Low Rank
t3GSJNryhSaLjS0Fyz1pLomzjYiPeb;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;10097.0;2;0;2;2;Low Rank
0Suqi7CFoevwQbcKtWXWf4P7Eovy69;[0.  0.  0.  0.  0.5 0.5 0.5 0.5];3;1;0;0.5;8587.0;3;0;3;2;Low Rank
3J2h40rYp3eUSf6rPPWr1HZywzLngd;[0.5 0.  0.  0.  0.5 0.  0.5 0.5];3;1;0;0.5;27355.0;3;3;3;7;Low Rank
4CYn31e0XqwxLloId8rgSSCLolyosr;[0.5 0.5 0.  0.  0.  0.5 0.5 0. ];3;1;0;0.5;11958.0;3;4;3;9;UCG
HA7IC6COhHsZfINKgTkdCT39hAMpdg;[0.  0.5 0.  0.5 0.5 0.  0.  0.5];3;1;0;0.5;14469.0;3;3;3;7;SVD
SiiyATqa0PA0efoPj4uYSI1hg4CriO;[0.  0.  0.5 0.5 0.5 0.5 0.  0. ];3;1;0;0.5;14517.0;3;1;3;3;Low Rank
T7veHj3UryALdL14q3JBXAkGxv86he;[0.5 0.5 0.  0.  0.5 0.5 0.  0. ];3;1;0;0.5;12536.0;3;0;3;1;Low Rank
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;33276.0;3;3;3;7;Low Rank
jCDTyty2o6hBp6HxSYWYLXRFB0v8UJ;[0.  0.  0.5 0.  0.5 0.5 0.5 0. ];3;1;0;0.5;18319.0;3;3;3;7;Low Rank
tRgYdCZXckS4YSdjVvVuohiHZfjQRU;[0.5 0.  0.  0.  0.5 0.5 0.  0.5];3;1;0;0.5;16055.0;3;3;3;7;SVD
ww1zmgO0nxvztVDRABLMbIBJ1vsEAC;[0.  0.  0.  0.  0.5 0.5 0.5 0.5];3;1;0;0.5;10778.0;3;0;3;2;Low Rank
5X4u6VQ2gNADXVMbEig53kEelF36FB;"[0.35355339 0.         0.35355339 0.         0.         0.35355339
 0.         0.35355339 0.35355339 0.         0.         0.35355339
 0.         0.35355339 0.         0.35355339]";4;1;0;0.5;31132.0;4;9;4;11;Low Rank
KYbfwzyHo9JsfBQzGLhadRrLvFEqJj;"[0.35355339 0.35355339 0.         0.         0.35355339 0.
 0.         0.         0.         0.35355339 0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339]";4;1;0;0.5;29654.0;4;8;4;11;SVD
PxpXJbpF7WEqy3TtOTNHf24c894nUA;"[0.         0.35355339 0.         0.35355339 0.35355339 0.
 0.         0.35355339 0.35355339 0.35355339 0.         0.
 0.         0.         0.35355339 0.35355339]";4;1;0;0.5;46397.0;4;7;4;8;SVD
R0qLHGU23djaNrim9RpVhWpUoYI3T4;"[0.         0.35355339 0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.35355339 0.         0.         0.35355339
 0.         0.35355339 0.         0.35355339]";4;1;0;0.5;24422.0;4;8;4;9;Low Rank
Tn0KFXmB4fCzgtz2w4LCydQuXwXrhc;"[0.35355339 0.         0.         0.         0.35355339 0.35355339
 0.35355339 0.35355339 0.35355339 0.         0.35355339 0.
 0.         0.         0.         0.35355339]";4;1;0;0.5;25600.0;4;7;4;9;Low Rank
UCaoo58qewdV5PGkA3rkoKkbVT2MMn;"[0.         0.         0.35355339 0.         0.35355339 0.35355339
 0.         0.         0.         0.35355339 0.         0.35355339
 0.35355339 0.         0.35355339 0.35355339]";4;1;0;0.5;19887.0;4;6;4;7;Low Rank
UuDSVe8vFaW9Iy5dgVGLUK6j7sKYoV;"[0.         0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.         0.35355339 0.
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;30752.0;4;6;4;7;Low Rank
aWJg8rIE3tjIneR0vPkD1C3DCsjIVA;"[0.         0.         0.         0.35355339 0.35355339 0.35355339
 0.         0.         0.35355339 0.         0.         0.
 0.35355339 0.35355339 0.35355339 0.35355339]";4;1;0;0.5;28358.0;4;9;4;11;Low Rank
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;20263.0;4;6;4;9;Low Rank
rRNdtfV2pG4NoyU82s8HBAgNZDz7uW;"[0.35355339 0.         0.35355339 0.         0.         0.
 0.35355339 0.35355339 0.35355339 0.         0.         0.35355339
 0.         0.         0.35355339 0.35355339]";4;1;0;0.5;27347.0;4;7;4;11;SVD
4X72Lt4rUofNfscdrLoUKAS5Far4Rd;"[0.        0.        0.        0.2236068 0.2236068 0.        0.2236068
 0.2236068 0.        0.        0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;53611.0;5;20;5;36;Low Rank
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;54765.0;5;21;5;39;Low Rank
Gok87BMtSXXJns9mUKcWsQw2RnG6yS;"[0.2236068 0.2236068 0.        0.2236068 0.2236068 0.        0.
 0.2236068 0.2236068 0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.        0.2236068 0.        0.        0.        0.
 0.2236068 0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;49660.0;5;21;5;39;Low Rank
NYyYzf27z4yc3JiluR8pHt4vIAplA2;"[0.        0.        0.        0.        0.2236068 0.2236068 0.
 0.2236068 0.2236068 0.2236068 0.        0.2236068 0.2236068 0.
 0.        0.        0.2236068 0.        0.2236068 0.2236068 0.
 0.2236068 0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;47035.0;5;20;5;36;Low Rank
TkaMk8OzEC5o7ARLszp2ihIlarfMVs;"[0.2236068 0.2236068 0.        0.        0.2236068 0.2236068 0.
 0.2236068 0.        0.        0.2236068 0.2236068 0.        0.
 0.2236068 0.        0.2236068 0.2236068 0.        0.2236068 0.
 0.2236068 0.        0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;50331.0;5;21;5;38;Low Rank
Xjvqu0KsL5r4WqNLeR0VLGewzWlAjT;"[0.        0.        0.        0.        0.        0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068 0.        0.
 0.2236068 0.        0.2236068 0.        0.        0.2236068 0.2236068
 0.        0.        0.2236068 0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;57424.0;5;20;5;36;Low Rank
Y91RTTRk0McayMTphP53ZALzzY67Cq;"[0.2236068 0.        0.        0.2236068 0.        0.2236068 0.
 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068 0.        0.2236068
 0.2236068 0.        0.        0.        0.        0.2236068 0.
 0.2236068 0.        0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;103730.0;5;19;5;34;Low Rank
dMFyzs1pYxlYQM005KLkSwMuYnYHO2;"[0.2236068 0.2236068 0.2236068 0.        0.        0.2236068 0.
 0.2236068 0.        0.        0.2236068 0.2236068 0.        0.
 0.2236068 0.        0.        0.2236068 0.        0.2236068 0.2236068
 0.        0.        0.2236068 0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;76232.0;5;18;5;37;Low Rank
e9FTlrzvw6oIDtykadtyuPzhZqweK7;"[0.        0.        0.2236068 0.        0.2236068 0.        0.2236068
 0.2236068 0.        0.2236068 0.        0.2236068 0.        0.2236068
 0.        0.2236068 0.        0.        0.2236068 0.        0.2236068
 0.        0.2236068 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;54053.0;5;19;5;33;Low Rank
wxJ3fKyqsCshJoOD9rYQxDunbRyUF0;"[0.2236068 0.        0.2236068 0.        0.        0.        0.2236068
 0.        0.2236068 0.        0.        0.        0.        0.2236068
 0.2236068 0.2236068 0.        0.2236068 0.        0.        0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;56085.0;5;21;5;38;Low Rank
7gZv7fWflJTwbdhLqG1F8fcmbrOJaw;"[0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.         0.14744196 0.14744196
 0.14744196 0.         0.         0.         0.14744196 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.14744196 0.14744196 0.14744196
 0.         0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;92863.0;6;45;6;52;Low Rank
8cyY2rvQGqTaLjy1SHGuuXPmkLQsLz;"[0.         0.         0.         0.14744196 0.14744196 0.14744196
 0.         0.14744196 0.14744196 0.14744196 0.         0.
 0.14744196 0.         0.         0.         0.14744196 0.14744196
 0.14744196 0.         0.         0.         0.14744196 0.14744196
 0.14744196 0.         0.14744196 0.14744196 0.         0.14744196
 0.         0.         0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;155140.0;6;46;6;54;Low Rank
GShAjZYkwraLXLefKlRxe1cr7jRFIn;"[0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;103762.0;6;46;6;52;SVD
QXDLJZnras6cF3wu9QxSS38cc3CCiT;"[0.         0.14744196 0.         0.         0.14744196 0.14744196
 0.14744196 0.14744196 0.         0.         0.         0.
 0.         0.         0.14744196 0.         0.14744196 0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.         0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;97773.0;6;47;6;54;Low Rank
Qk8Hw3aNgDQ5JXHglgYE6YpykoQWxc;"[0.         0.14744196 0.         0.         0.14744196 0.14744196
 0.14744196 0.14744196 0.         0.         0.14744196 0.14744196
 0.         0.         0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.14744196 0.14744196
 0.         0.14744196 0.14744196 0.14744196 0.14744196 0.
 0.14744196 0.14744196 0.         0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;90538.0;6;46;6;54;SVD
V0XhNYArrzQnl0ZrJYKgCAVx9CJ3To;"[0.         0.         0.14744196 0.14744196 0.         0.14744196
 0.14744196 0.         0.         0.         0.         0.14744196
 0.14744196 0.         0.14744196 0.14744196 0.         0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.14744196 0.         0.         0.14744196 0.14744196 0.
 0.14744196 0.         0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;90715.0;6;44;6;50;SVD
X4kfNdmJQK9fDLdCJGHCXu7VGumqXE;"[0.         0.14744196 0.14744196 0.         0.14744196 0.
 0.         0.14744196 0.         0.         0.         0.
 0.         0.         0.14744196 0.14744196 0.14744196 0.
 0.         0.         0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.         0.
 0.14744196 0.         0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;96289.0;6;46;6;52;SVD
dB6GoO9NYicOlIOIKrYuLF0qhc19kL;"[0.14744196 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.14744196 0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.
 0.14744196 0.         0.         0.14744196 0.14744196 0.
 0.14744196 0.         0.14744196 0.         0.14744196 0.
 0.         0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;90741.0;6;44;6;50;SVD
djpqE7oicfdx1PK42r2DEYznOVwRN3;"[0.14744196 0.         0.14744196 0.         0.14744196 0.14744196
 0.14744196 0.14744196 0.         0.         0.         0.14744196
 0.         0.         0.         0.         0.         0.14744196
 0.14744196 0.         0.         0.         0.         0.
 0.14744196 0.14744196 0.14744196 0.         0.14744196 0.14744196
 0.         0.         0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;88594.0;6;46;6;52;SVD
pJIWEqQatHXgmttULH6ZlCtPK7Z9Ha;"[0.         0.14744196 0.         0.14744196 0.         0.
 0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.14744196 0.
 0.14744196 0.         0.         0.14744196 0.         0.14744196
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.         0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;87551.0;6;47;6;54;SVD
