Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;91025.0;2;0;2;1;Low Rank
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;16530.0;2;1;2;2;SVD
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;12186.0;2;1;2;3;UCG
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;23970.0;3;8;3;14;BDSP
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;22437.0;3;8;3;14;DCSP
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;17838.0;2;2;2;5;Multiplexor
6hqw0apFfkQhgys2v4UvNNt9IIk7uY;[0. 0. 0. 1.];2;0;0;0.75;13119.0;2;1;2;3;Isometry
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;26333.0;3;3;3;7;Low Rank
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;13948.0;3;1;3;3;SVD
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;11897.0;3;4;3;9;UCG
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;19445.0;5;18;5;25;BDSP
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;15652.0;7;16;7;21;DCSP
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;25902.0;3;4;3;9;Multiplexor
Wl1qPRsxQ11VAjcbg4KQRUslvCJwuq;"[0.         0.45982605 0.         0.         0.88800901 0.
 0.         0.        ]";3;0;0;0.75;16475.0;3;3;3;7;Isometry
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;23867.0;4;5;4;7;Low Rank
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;24716.0;4;8;4;10;SVD
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;22710.0;4;11;4;23;UCG
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;22401.0;11;62;11;53;BDSP
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;16475.0;15;80;15;62;DCSP
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;50496.0;4;14;4;27;Multiplexor
VsdtTY0ZBUO7yDd4QRX6GJoAEouZ93;"[0.         0.         0.         0.         0.         0.
 0.         0.02660682 0.         0.27377864 0.         0.31603399
 0.         0.         0.         0.90799772]";4;0;0;0.75;25726.0;4;11;4;23;Isometry
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;52353.0;5;20;5;36;Low Rank
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;85036.0;5;26;5;49;SVD
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;70139.0;5;26;5;53;UCG
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;106144.0;15;104;15;76;BDSP
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;37610.0;31;176;31;98;DCSP
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;221942.0;5;30;5;58;Multiplexor
03pLtxa6Tp7j1vfsz5iIJ3QBGmPQSM;"[0.         0.         0.         0.27826627 0.         0.
 0.         0.         0.         0.         0.15684068 0.4822741
 0.17425992 0.         0.13670653 0.         0.         0.
 0.         0.         0.         0.         0.         0.28112244
 0.15988131 0.12565144 0.32899877 0.03012174 0.10373488 0.11381651
 0.4835005  0.35959681]";5;0;0;0.75;40995.0;5;26;5;53;Isometry
