Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;105323.0;2;1;2;3;Low Rank
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;11825.0;2;1;2;3;SVD
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;21844.0;2;1;2;3;UCG
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;15572.0;3;8;3;14;BDSP
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;12788.0;3;8;3;14;DCSP
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;10661.0;2;2;2;5;Multiplexor
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;7541.0;2;1;2;3;Isometry
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;14418.0;3;1;3;3;Low Rank
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;18800.0;3;3;3;7;SVD
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;17888.0;3;4;3;9;UCG
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;18071.0;5;20;5;25;BDSP
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;16275.999999999998;7;32;7;34;DCSP
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;31124.0;3;6;3;12;Multiplexor
jvQhQIzbIp6N7jN3pVeoN6nX5FR5L9;"[0.40824829 0.40824829 0.40824829 0.40824829 0.         0.
 0.40824829 0.40824829]";3;1;0;0.25;16816.0;3;4;3;9;Isometry
