Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
4Nk0mXXYKPBeTdXnCmRja7S9pf3yLk;[0.76116072 0.04425426 0.40088628 0.50790365];2;0;1;0;7192.0;2;1;2;3;UCG
7i7PzTDPXYYrktd4N8JhQIsbrihpC7;[0.64418005 0.6929248  0.12764295 0.29764839];2;0;1;0;8411.0;2;1;2;3;UCG
BoWmxubjQ25tseyHBcK7WWieMQDpfh;[0.4935893  0.50946323 0.10267705 0.69733367];2;0;1;0;11405.0;2;1;2;3;Isometry
FjbIajaZHtHDcbwLL3j1cEhTt7ttmu;[0.15845135 0.8289002  0.52465102 0.11206668];2;0;1;0;7534.0;2;1;2;3;UCG
c0KsRmPrqJXLYgYhQSFkc5MtbPtp3G;[0.18294421 0.55024404 0.69366587 0.42730619];2;0;1;0;7400.0;2;1;2;3;UCG
nMuaqv29bLfXu6ySimIKTSO9qr10GF;[0.34918836 0.73623227 0.52846957 0.23822142];2;0;1;0;12873.0;2;1;2;3;UCG
rWseZFfRUA9yzhLVHXQe0CcHhpbqQT;[0.48194458 0.54275665 0.59880199 0.33849789];2;0;1;0;7222.0;2;1;2;3;UCG
sdao91GL54PmuNGwhp6G17E1hitcPQ;[0.35595456 0.62406199 0.68023488 0.14533921];2;0;1;0;8585.0;2;1;2;3;UCG
wF4FbX7qHb1A2OdWaNVd7v0zfQGPKV;[0.36547921 0.39979089 0.27303035 0.7950136 ];2;0;1;0;8274.0;2;1;2;3;UCG
xWd1v7wXlT2cJwBYSRx7AMwFymHazS;[0.10996884 0.13314361 0.48626781 0.85657647];2;0;1;0;7752.0;2;1;2;3;UCG
2mONphAN9hE6uZmvFQ7Nn5ihSXJDyg;"[0.52004475 0.4188774  0.00668373 0.56562453 0.34352558 0.12005507
 0.31860437 0.01369714]";3;0;1;0;29344.0;3;3;3;7;SVD
37neWBevWyc9lBYqhhmtgTLZ7l4wcv;"[0.13957173 0.1785299  0.50995654 0.55546594 0.14779283 0.18683074
 0.5021096  0.26680749]";3;0;1;0;13154.0;3;4;3;9;UCG
MTm7WFzijaeE4pRT5oiTUhwgNuUUGy;"[0.35745079 0.2362404  0.1544728  0.57054819 0.36721118 0.29404597
 0.40534494 0.28534316]";3;0;1;0;12414.0;3;4;3;9;UCG
P3dIB6ypWMOB945LWEHau2OXwPBgWu;"[0.15928388 0.42372312 0.41308526 0.42060522 0.37642608 0.35648853
 0.33357682 0.25977878]";3;0;1;0;17843.0;3;3;3;7;SVD
RFOOrMxOKMVmrxyHuUhB01Ol7ughbY;"[0.19918255 0.22067618 0.38496303 0.44446025 0.39278676 0.11910449
 0.58606371 0.23226904]";3;0;1;0;28640.0;3;3;3;7;SVD
TRIcryq2krQAEHF4hpWvxz2bqPulzA;"[0.26567563 0.22840041 0.08272991 0.45339839 0.0652218  0.12129023
 0.80365865 0.00171919]";3;0;1;0;12377.0;3;4;3;9;UCG
fB6IBjbsHU9FESlFYR9Mekw1yOjbA5;"[0.17657454 0.45718113 0.06979966 0.33896084 0.46256122 0.35738375
 0.49264154 0.23592094]";3;0;1;0;26082.0;3;3;3;7;SVD
