Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
9fH2VvGnkYCMfcp0IOxR7xboAO2SE7;[0.         0.61713191 0.         0.78685971];2;0;0;0.5;8575.0;2;0;2;2;Low Rank
CEDebQnfy04rkhEItccwTheaAPApc0;[0.         0.76483264 0.         0.64422903];2;0;0;0.5;8814.0;2;0;2;2;Low Rank
JFeMOs0OaZUknGr4FhfS9wGaGqBTqs;[0.         0.07581053 0.         0.99712224];2;0;0;0.5;7437.0;2;0;2;2;Low Rank
JYvbjG1Agb6kQASFbaMuJvHgxky0Ok;[0.30023764 0.         0.         0.95386443];2;0;0;0.5;6729.0;2;1;2;3;UCG
P8VrA6OslYBXXeSLS0klqBvmEogTf1;[0.         0.89467232 0.         0.446723  ];2;0;0;0.5;8594.0;2;0;2;2;Low Rank
SrdVkscGDs2qpC7YnqGWIhNV4kKWqq;[0.91229198 0.         0.         0.40954041];2;0;0;0.5;9976.0;2;1;2;2;SVD
StH85Vw9PxTluacr5n00x22YNDzyVM;[0.         0.         0.9910314  0.13362923];2;0;0;0.5;6564.0;2;0;2;1;Low Rank
Xj9MSwc9vyAg0UmAvKUQg6Ndk2ZBR4;[0.         0.635692   0.         0.77194279];2;0;0;0.5;52605.0;2;0;2;2;Low Rank
cI2L3YKqojIJx4WxZd9SkCFsIYxRiY;[0.61042119 0.         0.         0.792077  ];2;0;0;0.5;7779.0;2;1;2;3;UCG
kyYIokOB4rtf63q7l0WhNRHerHkMM5;[0.         0.         0.52520302 0.85097696];2;0;0;0.5;6283.0;2;0;2;1;Low Rank
BHT095wNDTtQtOsX0MzjSHZD5Llmda;"[0.35528831 0.         0.91069088 0.14945949 0.         0.
 0.         0.1485739 ]";3;0;0;0.5;19471.0;3;3;3;7;SVD
Bjn5AKQhcQc5TVItoy5ufGi2spSIMu;"[0.19472851 0.49895915 0.         0.         0.         0.
 0.81023046 0.23800669]";3;0;0;0.5;15994.999999999998;3;3;3;7;Low Rank
CJn8FsLO8pesqrDX83FBnAyuVYjAdN;"[0.52756557 0.36985342 0.         0.         0.43726036 0.
 0.62744433 0.        ]";3;0;0;0.5;15417.0;3;3;3;7;SVD
CZj8uCK0jq0P86xGhTIMHbBxtZXHMy;"[0.74886296 0.28708174 0.         0.27383983 0.         0.53084846
 0.         0.        ]";3;0;0;0.5;12218.0;3;4;3;9;Isometry
HgSZt5qGBzLRryWKEwckrSffQqM2BK;"[0.         0.69318807 0.         0.67072951 0.         0.24958779
 0.08554623 0.        ]";3;0;0;0.5;15907.000000000002;3;3;3;7;Low Rank
