Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
3H1IbiB5yZ0Y6EfIsqk2OxMUIdC8da;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;7089.0;2;1;2;3;Isometry
6lD9lBwMnTjBWdClU6cDIqwebIyTRD;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;7174.0;2;1;2;3;Isometry
JBXJJhNd00uzlmwkjC6eU7tTDSdfZt;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;6280.0;2;1;2;3;UCG
Nc9C7Hf9IZ7jdQkSxJ77dJ4Igr9fS2;[0.57735027 0.57735027 0.         0.57735027];2;1;0;0.25;6952.0;2;1;2;3;UCG
RT2g4ObEict5sLzfytGb2toOWde1Ur;[0.57735027 0.57735027 0.         0.57735027];2;1;0;0.25;7146.0;2;1;2;3;Isometry
hS8qn4OWLIFRxYBHtypc6VJ3HIoZ3A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;7541.0;2;1;2;3;Isometry
n69aaHRk37PmWDpBxp3hzsoWlPap7A;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;7233.0;2;1;2;3;Isometry
uyli49YVdZYWkGaWI5W9Y1LOLTb08w;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;6732.0;2;1;2;3;UCG
wg7G7qPzmS0ZiTtu90Neoks0Q76IO1;[0.         0.57735027 0.57735027 0.57735027];2;1;0;0.25;6418.0;2;1;2;3;UCG
xrHGhrExMpEq30NRT5I51JepeNMkzS;[0.57735027 0.         0.57735027 0.57735027];2;1;0;0.25;6650.0;2;1;2;3;UCG
Ax4XQNzN1jYzqQeqr2IV6AVjyp3IJn;"[0.40824829 0.40824829 0.40824829 0.         0.40824829 0.40824829
 0.         0.40824829]";3;1;0;0.25;14444.0;3;3;3;7;SVD
