Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;6332687.0;11;1862;11;3237;Low Rank
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;4704717.0;11;2036;11;4073;UCG
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;5094840.0;11;2036;11;4073;Isometry
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;48648014.0;11;2046;11;4084;Multiplexor
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;6280035.0;11;2342;11;4319;SVD
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;8815512.0;223;3680;223;461;BDSP
0VlOZmKribLk8XMoVKQkToVrcPZ6yl;[0.03421656 0.00147118 0.         ... 0.03577022 0.01191218 0.00590784];11;0;0;0.25;1304216.0;2047;16272;2047;482;DCSP
1GrVfNb8wSb0gemabN4eFAwcyNylDc;"[1.28038111e-01 1.51784746e-02 0.00000000e+00 1.35263205e-02
 7.82807631e-02 1.51616879e-01 1.18717575e-01 7.71183786e-02
 1.46434939e-01 1.15121735e-01 7.28369020e-02 1.30223320e-01
 1.02422714e-01 1.41611782e-01 1.39552892e-01 1.20976174e-01
 3.07995629e-02 3.97516277e-02 0.00000000e+00 1.92993616e-02
 1.58254542e-02 1.34214803e-05 9.00805587e-02 3.36233410e-02
 2.17927815e-02 3.94380803e-02 0.00000000e+00 4.46795838e-02
 3.89960552e-02 0.00000000e+00 2.68948646e-03 0.00000000e+00
 1.21206742e-01 8.72176315e-02 1.18472535e-01 0.00000000e+00
 1.42882660e-01 1.31173967e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.79726155e-02 0.00000000e+00
 1.44620221e-02 5.58884237e-02 6.75833218e-02 0.00000000e+00
 1.15393411e-01 5.10439066e-02 1.42059764e-01 6.03702461e-02
 9.32680058e-02 8.88110279e-02 5.79156580e-02 1.22409163e-01
 1.49480989e-01 3.32690103e-02 1.13417933e-01 1.01882794e-01
 9.31958928e-02 1.21425379e-01 9.28776291e-02 1.27803189e-01
 8.14545248e-02 1.34372287e-01 7.71434874e-02 1.40874740e-01
 4.06199391e-02 3.41046963e-02 4.73684964e-02 1.17023046e-01
 1.34006614e-02 2.92423665e-02 9.21191994e-02 7.79896488e-02
 1.17873008e-03 1.18918361e-01 4.27218761e-02 1.03569451e-01
 1.10181040e-01 1.75951222e-02 1.16848349e-01 1.14551650e-01
 1.48208849e-01 1.21251223e-01 5.65458828e-02 7.12515789e-02
 8.57040139e-03 6.38659981e-02 9.08461096e-02 1.30122482e-01
 5.37941699e-02 7.98037613e-02 3.75808644e-02 1.36269774e-01
 7.44360121e-02 4.51515025e-03 1.34317482e-01 5.94887040e-02
 3.93759614e-02 4.39949584e-02 9.95979212e-02 8.79638855e-02
 9.57724442e-03 8.45333710e-02 3.48420930e-02 7.25146520e-02
 1.43921865e-01 2.49475871e-02 8.59573924e-02 1.49913098e-01
 6.29435084e-02 9.25310900e-02 1.29327548e-01 1.03571300e-01
 1.22667522e-01 1.21255686e-01 1.25531390e-01 8.16979742e-02
 9.72723186e-02 1.37957358e-01 1.09684335e-01 6.73656011e-02
 3.77630682e-02 2.97270988e-02 1.47520977e-01 1.12447756e-01]";7;0;0;0.25;300678.0;7;98;7;179;Low Rank
1GrVfNb8wSb0gemabN4eFAwcyNylDc;"[1.28038111e-01 1.51784746e-02 0.00000000e+00 1.35263205e-02
 7.82807631e-02 1.51616879e-01 1.18717575e-01 7.71183786e-02
 1.46434939e-01 1.15121735e-01 7.28369020e-02 1.30223320e-01
 1.02422714e-01 1.41611782e-01 1.39552892e-01 1.20976174e-01
 3.07995629e-02 3.97516277e-02 0.00000000e+00 1.92993616e-02
 1.58254542e-02 1.34214803e-05 9.00805587e-02 3.36233410e-02
 2.17927815e-02 3.94380803e-02 0.00000000e+00 4.46795838e-02
 3.89960552e-02 0.00000000e+00 2.68948646e-03 0.00000000e+00
 1.21206742e-01 8.72176315e-02 1.18472535e-01 0.00000000e+00
 1.42882660e-01 1.31173967e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.79726155e-02 0.00000000e+00
 1.44620221e-02 5.58884237e-02 6.75833218e-02 0.00000000e+00
 1.15393411e-01 5.10439066e-02 1.42059764e-01 6.03702461e-02
 9.32680058e-02 8.88110279e-02 5.79156580e-02 1.22409163e-01
 1.49480989e-01 3.32690103e-02 1.13417933e-01 1.01882794e-01
 9.31958928e-02 1.21425379e-01 9.28776291e-02 1.27803189e-01
 8.14545248e-02 1.34372287e-01 7.71434874e-02 1.40874740e-01
 4.06199391e-02 3.41046963e-02 4.73684964e-02 1.17023046e-01
 1.34006614e-02 2.92423665e-02 9.21191994e-02 7.79896488e-02
 1.17873008e-03 1.18918361e-01 4.27218761e-02 1.03569451e-01
 1.10181040e-01 1.75951222e-02 1.16848349e-01 1.14551650e-01
 1.48208849e-01 1.21251223e-01 5.65458828e-02 7.12515789e-02
 8.57040139e-03 6.38659981e-02 9.08461096e-02 1.30122482e-01
 5.37941699e-02 7.98037613e-02 3.75808644e-02 1.36269774e-01
 7.44360121e-02 4.51515025e-03 1.34317482e-01 5.94887040e-02
 3.93759614e-02 4.39949584e-02 9.95979212e-02 8.79638855e-02
 9.57724442e-03 8.45333710e-02 3.48420930e-02 7.25146520e-02
 1.43921865e-01 2.49475871e-02 8.59573924e-02 1.49913098e-01
 6.29435084e-02 9.25310900e-02 1.29327548e-01 1.03571300e-01
 1.22667522e-01 1.21255686e-01 1.25531390e-01 8.16979742e-02
 9.72723186e-02 1.37957358e-01 1.09684335e-01 6.73656011e-02
 3.77630682e-02 2.97270988e-02 1.47520977e-01 1.12447756e-01]";7;0;0;0.25;171348.0;7;120;7;241;UCG
1GrVfNb8wSb0gemabN4eFAwcyNylDc;"[1.28038111e-01 1.51784746e-02 0.00000000e+00 1.35263205e-02
 7.82807631e-02 1.51616879e-01 1.18717575e-01 7.71183786e-02
 1.46434939e-01 1.15121735e-01 7.28369020e-02 1.30223320e-01
 1.02422714e-01 1.41611782e-01 1.39552892e-01 1.20976174e-01
 3.07995629e-02 3.97516277e-02 0.00000000e+00 1.92993616e-02
 1.58254542e-02 1.34214803e-05 9.00805587e-02 3.36233410e-02
 2.17927815e-02 3.94380803e-02 0.00000000e+00 4.46795838e-02
 3.89960552e-02 0.00000000e+00 2.68948646e-03 0.00000000e+00
 1.21206742e-01 8.72176315e-02 1.18472535e-01 0.00000000e+00
 1.42882660e-01 1.31173967e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.79726155e-02 0.00000000e+00
 1.44620221e-02 5.58884237e-02 6.75833218e-02 0.00000000e+00
 1.15393411e-01 5.10439066e-02 1.42059764e-01 6.03702461e-02
 9.32680058e-02 8.88110279e-02 5.79156580e-02 1.22409163e-01
 1.49480989e-01 3.32690103e-02 1.13417933e-01 1.01882794e-01
 9.31958928e-02 1.21425379e-01 9.28776291e-02 1.27803189e-01
 8.14545248e-02 1.34372287e-01 7.71434874e-02 1.40874740e-01
 4.06199391e-02 3.41046963e-02 4.73684964e-02 1.17023046e-01
 1.34006614e-02 2.92423665e-02 9.21191994e-02 7.79896488e-02
 1.17873008e-03 1.18918361e-01 4.27218761e-02 1.03569451e-01
 1.10181040e-01 1.75951222e-02 1.16848349e-01 1.14551650e-01
 1.48208849e-01 1.21251223e-01 5.65458828e-02 7.12515789e-02
 8.57040139e-03 6.38659981e-02 9.08461096e-02 1.30122482e-01
 5.37941699e-02 7.98037613e-02 3.75808644e-02 1.36269774e-01
 7.44360121e-02 4.51515025e-03 1.34317482e-01 5.94887040e-02
 3.93759614e-02 4.39949584e-02 9.95979212e-02 8.79638855e-02
 9.57724442e-03 8.45333710e-02 3.48420930e-02 7.25146520e-02
 1.43921865e-01 2.49475871e-02 8.59573924e-02 1.49913098e-01
 6.29435084e-02 9.25310900e-02 1.29327548e-01 1.03571300e-01
 1.22667522e-01 1.21255686e-01 1.25531390e-01 8.16979742e-02
 9.72723186e-02 1.37957358e-01 1.09684335e-01 6.73656011e-02
 3.77630682e-02 2.97270988e-02 1.47520977e-01 1.12447756e-01]";7;0;0;0.25;376177.0;7;120;7;241;Isometry
