Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;69325.0;2;0;2;1;Low Rank
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;11304.0;2;1;2;2;SVD
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;8689.0;2;1;2;3;UCG
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;12895.0;3;8;3;14;BDSP
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;11722.0;3;8;3;14;DCSP
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;10145.0;2;2;2;5;Multiplexor
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;7457.0;2;1;2;3;Isometry
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;16639.0;3;3;3;7;Low Rank
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;21046.0;3;1;3;3;SVD
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;17422.0;3;4;3;9;UCG
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;17204.0;5;18;5;25;BDSP
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;15312.0;7;32;7;34;DCSP
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;24714.0;3;6;3;12;Multiplexor
WzYA0iVzdMmoQlNBL0fuN2pi0aDud2;"[0.         0.         0.         0.70710678 0.         0.
 0.70710678 0.        ]";3;1;0;0.75;21399.0;3;4;3;9;Isometry
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;28029.0;4;5;4;7;Low Rank
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;26443.0;4;8;4;10;SVD
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;30554.0;4;11;4;23;UCG
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;17517.0;11;58;11;53;BDSP
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;17336.0;15;64;15;62;DCSP
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;48414.0;4;14;4;27;Multiplexor
65xShsbDXe3N9cJRwJUqQTqer6sgb0;[0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.5];4;1;0;0.75;25811.0;4;11;4;23;Isometry
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;50605.0;5;20;5;35;Low Rank
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;60358.0;5;25;5;48;SVD
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;48493.0;5;26;5;53;UCG
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;35098.0;15;70;15;76;BDSP
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;19414.0;31;144;31;98;DCSP
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;154861.0;5;30;5;58;Multiplexor
61MRF0Ekd8TOF6wbXJWSV3LomKt4ja;"[0.         0.         0.26726124 0.         0.26726124 0.
 0.26726124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.26726124 0.         0.26726124 0.26726124
 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124 0.26726124
 0.26726124 0.26726124]";5;1;0;0.75;43843.0;5;26;5;53;Isometry
S4l5RYtyHKKgLV4AnFdZ0GjHCk5gcg;"[0.         0.         0.         0.         0.         0.16439899
 0.16439899 0.         0.         0.16439899 0.         0.
 0.         0.16439899 0.         0.16439899 0.         0.
 0.         0.         0.         0.         0.         0.16439899
 0.         0.16439899 0.         0.         0.         0.
 0.16439899 0.         0.         0.         0.         0.16439899
 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899
 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899
 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899
 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899 0.16439899
 0.16439899 0.16439899 0.16439899 0.16439899]";6;1;0;0.75;88809.0;6;44;6;51;Low Rank
